train_loss,train_iou,train_dice,train_image_accuracy,val_loss,val_iou,val_dice,val_image_accuracy,lr
0.8115943276079849,0.11566899947916398,0.16910537361144942,0.5452392231170061,0.7906649200216028,0.18321354996031403,0.24684916053821757,0.5871212121212122,0.0001
0.7363345234545432,0.1461660496122753,0.21875946047452638,0.5888204642349597,0.7798704828255172,0.14207010600736528,0.20292240467809336,0.5577651515151515,9.972609476841367e-05
0.7228613059007041,0.15315221301644277,0.22672584329617204,0.5821885362387494,0.745888159872927,0.2042690300630937,0.28052696386160564,0.6505681818181818,9.890738003669029e-05
0.7007432374910221,0.17152071241680955,0.24926623333569717,0.6025580293699668,0.7432302754833113,0.1981838858093914,0.2752639628163589,0.6202651515151515,9.755282581475769e-05
0.6870567048736594,0.17870745748852102,0.2596002498145082,0.6144007579346281,0.7407822731825449,0.20764614869272277,0.28611605380859995,0.6761363636363636,9.567727288213003e-05
0.6723925079585109,0.18214548260020322,0.2638670212183221,0.6141639033633349,0.7153696104691831,0.22746937465046438,0.3046669123673516,0.6884469696969697,9.330127018922194e-05
0.6636991874982785,0.18895144479351453,0.26994811154409204,0.6215063950734249,0.768881495430998,0.23932547859363576,0.31310634995914094,0.6941287878787878,9.045084971874738e-05
0.6419717263966827,0.19933042965040793,0.2835202070832936,0.6241117953576504,0.7530981081284457,0.22321809228958658,0.29786017232470546,0.6448863636363636,8.715724127386972e-05
0.6470069864900803,0.1967120951078111,0.28068283838340774,0.6219801042160114,0.7060339024779254,0.22985948749764962,0.31023372788256576,0.6714015151515151,8.345653031794292e-05
0.6400766541177918,0.20844366553168767,0.29418688364414597,0.6449549976314543,0.7253295162940062,0.3156141124717067,0.3928047119871609,0.7234848484848485,7.938926261462366e-05
0.6202805063090905,0.21824605243534148,0.3059075680053419,0.6461392704879204,0.7107085298128809,0.2835989164538861,0.36404265845364336,0.7263257575757576,7.500000000000001e-05
0.6161535206286802,0.22159150636610753,0.3083615043448071,0.653008053055424,0.7221394376555316,0.23302724730092833,0.3074053037778382,0.6638257575757576,7.033683215379003e-05
0.6028478287398576,0.22444849992580027,0.31204052736633375,0.6494552344860256,0.7177832324942949,0.2579011321899882,0.33941283420369106,0.6903409090909091,6.545084971874738e-05
0.6095378972962047,0.222976114914224,0.3100145316295389,0.657271435338702,0.7406567225472386,0.21693183482328468,0.29602991759980773,0.6287878787878788,6.039558454088797e-05
0.6054470696156643,0.2350772067227949,0.32533394562155815,0.6721932733301753,0.7182330849641816,0.23770910383000288,0.3107118184839354,0.6799242424242424,5.522642316338269e-05
0.5860970666418527,0.23969829895596761,0.3298657987546733,0.6792989104689721,0.704289295873285,0.24793732885246905,0.3330978343065654,0.7054924242424242,5.000000000000002e-05
0.582791848508126,0.25193913533493234,0.342752891403908,0.6935101847465656,0.7141019277289546,0.2591650456766342,0.3400653465121374,0.7159090909090909,4.4773576836617344e-05
0.5651516398501385,0.2515566565785878,0.342219174496198,0.6972998578872572,0.7098120264003173,0.3018440114788847,0.38399702035129507,0.7481060606060606,3.9604415459112035e-05
0.5652074551601406,0.26371202811307803,0.3551926478507719,0.7091425864519185,0.6676434203070654,0.26804125854460087,0.35937294557975064,0.7149621212121212,3.4549150281252636e-05
0.5661397222803962,0.2642800659105045,0.3555911150780654,0.7157745144481289,0.6899104856835231,0.2926635440425824,0.3804146481040429,0.7471590909090909,2.9663167846209998e-05
0.5540204030473025,0.2738185306457009,0.3671694178450479,0.7186167693036476,0.6750850277266126,0.2917058931327891,0.3803365797674733,0.7159090909090909,2.5000000000000018e-05
0.5466733998134278,0.27711070005665656,0.36849750960051353,0.7098531501657982,0.7269503559276734,0.2800790246372299,0.358687889561727,0.7121212121212122,2.0610737385376356e-05
0.5383605388415335,0.2773641838272718,0.36923784288778805,0.7129322595926101,0.6897677426902302,0.3071812674070635,0.39021359184737703,0.7414772727272727,1.654346968205711e-05
0.5231299477588058,0.29228166807735234,0.3865866978367377,0.719090478446234,0.7159545291350365,0.31012828313958324,0.38655970363029085,0.7253787878787878,1.2842758726130297e-05
0.5429471768202166,0.2838098285487092,0.37595824896533653,0.7375651350071056,0.6793814166597975,0.3164256410181657,0.3996708678656287,0.7518939393939394,9.549150281252636e-06
0.5240618903573927,0.2919388866288226,0.38494590942029633,0.7269066792989105,0.7214339731841378,0.2931890434072006,0.3683625472885263,0.7178030303030303,6.698729810778068e-06
0.5251465766565115,0.2944949815213409,0.38814645212458243,0.7333017527238276,0.6697179259436008,0.29042047861970827,0.3781460946075249,0.7320075757575758,4.322727117869953e-06
0.5164164685059817,0.29736517119746764,0.39085014823859576,0.7311700615821886,0.67168273979722,0.3486470824063925,0.4333507348387601,0.7727272727272727,2.447174185242324e-06
0.52259873096643,0.3029139056836227,0.3959367392584889,0.7328280435812411,0.6777977943552425,0.31469391045137596,0.3989923968516058,0.7414772727272727,1.092619963309716e-06
0.5103187965502917,0.30518042384823996,0.3985714324022908,0.7342491710090004,0.6865011633235829,0.3079871589668004,0.3918413996826475,0.7424242424242424,2.7390523158633003e-07
